Title,Author,First Publish Year,URL
"Crash Into You (Pushing the Limits Series, Book 3)",Katie McGarry,2013,https://openlibrary.org/works/OL16810258W
God loves me Bible,Susan Elizabeth Beck,1993,https://openlibrary.org/works/OL3963294W
True Love,Daphne Rose Kingma,1991,https://openlibrary.org/works/OL41776W
Until Today!,Iyanla Vanzant,2000,https://openlibrary.org/works/OL42010W
The greatest thing in the world,Henry Drummond,1890,https://openlibrary.org/works/OL42469747W
The Enigmatic Rake,Anne O'Brien,2006,https://openlibrary.org/works/OL3100873W
"Lord, Let Me Love",Marjorie Holmes,1978,https://openlibrary.org/works/OL3289684W
Love is letting go of fear,Gerald G. Jampolsky,1979,https://openlibrary.org/works/OL3260772W
Love,Tom Inglis,2013,https://openlibrary.org/works/OL21247826W
More Lacanian Coordinates,Bogdan Wolf,2016,https://openlibrary.org/works/OL21273415W
The secret currency of love,Hilary Black,2009,https://openlibrary.org/works/OL18723628W
Place Like Home,Rosamunde Pilcher,2021,https://openlibrary.org/works/OL21703688W
Great Myths of Intimate Relationships,Matthew D. Johnson,2014,https://openlibrary.org/works/OL21594971W
Sublime,Christina Lauren,2014,https://openlibrary.org/works/OL21078348W
Sweet Sorrow,Alan B. Eppel,2009,https://openlibrary.org/works/OL21009425W
Strong and weak,Andy Crouch,2016,https://openlibrary.org/works/OL21176709W
The Tower Room,"Adele Geras, Adèle Geras",1992,https://openlibrary.org/works/OL4311790W
How do dinosaurs say I love you?,Jane Yolen,2009,https://openlibrary.org/works/OL441201W
Black Dawn,Lisa Jane Smith,1997,https://openlibrary.org/works/OL4444202W
Songs of seven,Jean Ingelow,1866,https://openlibrary.org/works/OL4875798W
Magic for Lovers,Kathleen McCormack,1985,https://openlibrary.org/works/OL460199W
I believe in a thing called love,Maurene Goo,2017,https://openlibrary.org/works/OL20057442W
Every last word,Tamara Ireland Stone,2015,https://openlibrary.org/works/OL20002259W
Tear you apart,Sarah Cross,2015,https://openlibrary.org/works/OL19992293W
Rebel of the sands,Alwyn Hamilton,2016,https://openlibrary.org/works/OL20021510W
Thwonk,Joan Bauer,1995,https://openlibrary.org/works/OL2000406W
"I love you, too!",Michael Foreman,2013,https://openlibrary.org/works/OL19979184W
Why Love Hurts: A Sociological Explanation,Eva Illouz,2012,https://openlibrary.org/works/OL19641750W
Love and loss,Colin Murray Parkes,2006,https://openlibrary.org/works/OL1926640W
Love secrets of the signs,Stacey Wolf,2002,https://openlibrary.org/works/OL1925753W
Roseblood,A. G. Howard,2017,https://openlibrary.org/works/OL19659812W
When we collided,Emery Lord,2016,https://openlibrary.org/works/OL19665045W
All Our Pretty Songs,Sarah McCarry,2013,https://openlibrary.org/works/OL19680663W
Ten Thousand Skies Above You,Claudia Gray,2015,https://openlibrary.org/works/OL17854638W
Hold Me Closer,David Levithan,2015,https://openlibrary.org/works/OL17824997W
The honeymoon's over,"Andrea Chapin, Sally Wofford-Girand",2007,https://openlibrary.org/works/OL17826259W
"Narcissa, or, The road to Rome",Laura Elizabeth Howe Richards,1894,https://openlibrary.org/works/OL1799035W
Poison Heart (Claire Watkins),Mary Logue,2005,https://openlibrary.org/works/OL17749W
Snowfall,K. M. Peyton,1994,https://openlibrary.org/works/OL1850163W
Love from The Very Hungry Caterpillar,Eric Carle,2015,https://openlibrary.org/works/OL20177861W
The truth,Neil Strauss,2015,https://openlibrary.org/works/OL20015445W
The Velveteen Rabbit,Margery Williams Bianco,2011,https://openlibrary.org/works/OL20084497W
The Erotic,Lou Andreas-Salomé,2012,https://openlibrary.org/works/OL20354374W
Barriers to Loving,Stephen B. Levine,2013,https://openlibrary.org/works/OL20366560W
Psychoanalysis Listening to Love,Simonetta Diena,2017,https://openlibrary.org/works/OL20557953W
Trans People in Love,"Tracie O'Keefe, Katrina Fox",2008,https://openlibrary.org/works/OL20793365W
Historia amoris,Edgar Saltus,1906,https://openlibrary.org/works/OL5684582W
An Anteater Named Arthur,Bernard Waber,1967,https://openlibrary.org/works/OL1815355W
Evergreen,Belva Plain,1978,https://openlibrary.org/works/OL10672947W
The Evolution of Love,Emil Lucka,1922,https://openlibrary.org/works/OL7590073W
Hachimitsu to kurōbā,羽海野チカ,2002,https://openlibrary.org/works/OL13752799W
Conscience et amour,Gabriel Madinier,1938,https://openlibrary.org/works/OL7257587W
Kissed by an Angel Collector's Edition,"Elizabeth Chandler, Elizabeth Chandler",1998,https://openlibrary.org/works/OL3012083W
Kissed by an Angel Collector's Edition,"Elizabeth Chandler, Elizabeth Chandler",1998,https://openlibrary.org/works/OL3012083W
Zoey plays games,Katherine Applegate,1996,https://openlibrary.org/works/OL27833W
Aspects of love in Western society,Suzanne Lilar,1965,https://openlibrary.org/works/OL1297655W
Neil Gaiman's How To Talk To Girls At Parties,"Neil Gaiman, Fábio Moon, Gabriel Ba",2013,https://openlibrary.org/works/OL19875934W
Glaubhaft ist nur Liebe,Hans Urs von Balthasar,1963,https://openlibrary.org/works/OL540582W
"If I asked you, would you stay?",Eve Bunting,1984,https://openlibrary.org/works/OL97602W
The Familiar,Katherine Applegate,2000,https://openlibrary.org/works/OL27788W
The Hidden,Katherine Applegate,2000,https://openlibrary.org/works/OL27792W
The Other,Katherine Applegate,2000,https://openlibrary.org/works/OL27809W
The Journey,Katherine Applegate,2000,https://openlibrary.org/works/OL27797W
Into The Garden,"Robert Hass, Mitchell, Stephen, Margaret Atwood, Steph Mitchel",1993,https://openlibrary.org/works/OL2200462W
I love you as big as the world,David Van Buren,2008,https://openlibrary.org/works/OL9839165W
Street Love,Walter Dean Myers,2006,https://openlibrary.org/works/OL98281W
Love Is My Favorite Thing,Emma Chichester Clark,2015,https://openlibrary.org/works/OL19775371W
Another day,David Levithan,2015,https://openlibrary.org/works/OL19671294W
Aisha Goes Wild,Katherine Applegate,1994,https://openlibrary.org/works/OL27835W
The Potion Diaries,Amy Alward,2015,https://openlibrary.org/works/OL17606342W
Dark Wind,Gordon Chaplin,1999,https://openlibrary.org/works/OL1996851W
Judicial whispers,Caro Fraser,1995,https://openlibrary.org/works/OL6221774W
Inseparables,Rachel Vail,2006,https://openlibrary.org/works/OL46038W
Candy,Kevin Brooks,2005,https://openlibrary.org/works/OL5824033W
Fearless Loving,Rhonda Britten,2003,https://openlibrary.org/works/OL5841410W
"Same Soul, Many Bodies",Brian L. Weiss,2004,https://openlibrary.org/works/OL70779W
The Magic Donkey Ride,"Giles Andreae, Vanessa Cabban, Hugh Laurie",2002,https://openlibrary.org/works/OL73210W
Oyayubihime Infinity,Toru Fujieda,2006,https://openlibrary.org/works/OL8699544W
That's Not My Teddy,Fiona Watt,1999,https://openlibrary.org/works/OL8117876W
Lola,Loufane,2003,https://openlibrary.org/works/OL9249787W
"I Love You, Too!",Eve Bunting,2004,https://openlibrary.org/works/OL97512W
Shakers,C. E. Sears,1867,https://openlibrary.org/works/OL906252W
A stranger for Christmas,Carol Lynn Pearson,1984,https://openlibrary.org/works/OL72881W
Love as a Collective Action,Adrian Scribano,2019,https://openlibrary.org/works/OL24500354W
Love,"Anna G. Jónasdóttir, Ann Ferguson",2013,https://openlibrary.org/works/OL25212532W
New Treasure,Lytton,2018,https://openlibrary.org/works/OL25222829W
Love and Its Vicissitudes,"André Green, Gregorio Kohon",2005,https://openlibrary.org/works/OL25201970W
Man and wife,Marc Oraison,1958,https://openlibrary.org/works/OL24445521W
Before Emotion,"Juanita Feros Ruys, Michael Champion, Kirk Essary",2019,https://openlibrary.org/works/OL25751334W
"Phenomenology of Sex, Love, and Intimacy",Susi Ferrarello,2019,https://openlibrary.org/works/OL25754951W
Love Justice and Autonomy,"Rachel Fedock, Michael Kühler, T. Raja Rosenhagen",2020,https://openlibrary.org/works/OL25763357W
Love and Loneliness at Work,"Brigitte Bonnerup, Annemette Hasselager",2019,https://openlibrary.org/works/OL25753923W
Straight from the Heart,Tami Hoag,1989,https://openlibrary.org/works/OL134441W
Room for a Little One,Martin Waddell,2004,https://openlibrary.org/works/OL114201W
Every Day I Love You More,Nancy Shulins,2001,https://openlibrary.org/works/OL29410877W
Me Without You,"Lisa Swerling, Ralph Lazar",2011,https://openlibrary.org/works/OL26539794W
Love Shack,Katherine Applegate,1993,https://openlibrary.org/works/OL27798W
ACT with Love,Russ Harris,2009,https://openlibrary.org/works/OL27433261W
Love and anger,Peter F. Cohen,1998,https://openlibrary.org/works/OL2753771W
Love That We Are,Uwa Hunwick,2012,https://openlibrary.org/works/OL27982576W
Loving people,"John Sims Townsend, John Townsend",2007,https://openlibrary.org/works/OL2958136W
Hiding from love,John Sims Townsend,1991,https://openlibrary.org/works/OL2958139W
The love affair as a work of art,Dan Hofstadter,1996,https://openlibrary.org/works/OL2974820W
Two Brown Bears,Martin Waddell,2002,https://openlibrary.org/works/OL28940W
Cultivating the Mind of Love,Thích Nhất Hạnh,1996,https://openlibrary.org/works/OL263652W
'Til death or distance do us part,"Frances Smith Foster, Frances Smith",2009,https://openlibrary.org/works/OL3944807W
How to break your addiction to a person,Howard Marvin Halpern,1982,https://openlibrary.org/works/OL3959630W
Passenger,Alexandra Bracken,2016,https://openlibrary.org/works/OL19665855W
The Routledge Handbook of Love in Philosophy,Adrienne M. Martin,2018,https://openlibrary.org/works/OL20592790W
Reunited,Colleen Houck,2016,https://openlibrary.org/works/OL19652575W
How to love,Gordon Livingston,2009,https://openlibrary.org/works/OL19929984W
Insecure in love,Leslie Becker-Phelps,2014,https://openlibrary.org/works/OL19984017W
Half a world away,Cynthia Kadohata,2014,https://openlibrary.org/works/OL19983505W
A quiet kind of thunder,Sara Barnard,2017,https://openlibrary.org/works/OL19731643W
"There, there",Sam McBratney,2013,https://openlibrary.org/works/OL19969838W
"Deliverance (Defiance Series, Book 3)",C. J. Redwine,2014,https://openlibrary.org/works/OL19985547W
Love and Sex in a New Relationship,Cate Campbell,2018,https://openlibrary.org/works/OL20178561W
Conspiracy of blood and smoke,Anne Blankman,2015,https://openlibrary.org/works/OL19998007W
The Love Dare Day by Day,"Stephen Kendrick, Alex Kendrick",2009,https://openlibrary.org/works/OL20369950W
Our chemical hearts,Krystal Sutherland,2016,https://openlibrary.org/works/OL20039481W
Bloom,"Kevin Panetta, Savanna Ganucheau",2019,https://openlibrary.org/works/OL20155012W
A Step Toward Falling,Cammie McGovern,2015,https://openlibrary.org/works/OL19349853W
Why We Love,Matt Lilley,2019,https://openlibrary.org/works/OL20744717W
A Networked Self and Love,Zizi Papacharissi,2018,https://openlibrary.org/works/OL20593884W
The Materiality of Love,"Anna Malinowska, Michael Gratzke",2017,https://openlibrary.org/works/OL20221508W
Intimacies and Cultural Change,"Daniel Nehring, Rosario Esteinou, Emmanuel Alvarado",2014,https://openlibrary.org/works/OL21260535W
Philosophical History of Love,Wayne Cristaudo,2012,https://openlibrary.org/works/OL21330094W
Depressive Love,Emma Engdahl,2018,https://openlibrary.org/works/OL21319194W
"Pannenberg on Evil, Love and God",Mark Hocknull,2014,https://openlibrary.org/works/OL21258870W
Contemporary Psychoanalysis and Modern Jewish Philosophy,Michael Oppenheim,2016,https://openlibrary.org/works/OL21307451W
Falling Out of Romantic Love,Crystal Wilhite Hemesath,2019,https://openlibrary.org/works/OL21629611W
Radicalism of Romantic Love,"Renata Grossi, David West",2017,https://openlibrary.org/works/OL21295510W
Myth and Philosophy in Plato's Phaedrus,Daniel S. Werner,2012,https://openlibrary.org/works/OL21074336W
Pedagogies and Politics of Liking,"Adam Greteman, Kevin J. Burke",2017,https://openlibrary.org/works/OL21150807W
Love and ethics,Ellen Key,1912,https://openlibrary.org/works/OL20080232W
"Love, Lucy",April Lindner,2015,https://openlibrary.org/works/OL19994083W
"Real love, right now",Kailen Rosenberg,2013,https://openlibrary.org/works/OL19967865W
"The Retribution of Mara Dyer (Mara Dyer Series, Book 3)",Michelle Hodkin,2014,https://openlibrary.org/works/OL19991542W
Famous in love,Rebecca Serle,2014,https://openlibrary.org/works/OL19987701W
Chemistry lessons,Meredith Goldstein,2018,https://openlibrary.org/works/OL19744480W
Masculinities Sexualities and Love,Aliraza Javaid,2018,https://openlibrary.org/works/OL21344765W
"Law, Religion and Love","Paul Babie, Vanja-Ivan Savić",2017,https://openlibrary.org/works/OL21311903W
Stealth Altruism,Arthur B. Shostak,2017,https://openlibrary.org/works/OL21148238W
Love and Intimacy in Contemporary Society,Ann Brooks,2019,https://openlibrary.org/works/OL21344761W
"Happy Valentine's Day, Charlie Brown!","Charles M. Schulz, Maggie Testa, Scott Jeralds",2015,https://openlibrary.org/works/OL19360699W
Teaching Religion and Literature,"Daniel Boscaljon, Alan Levinovitz",2018,https://openlibrary.org/works/OL21340902W
Weddings from the Heart,Daphne Rose Kingma,1991,https://openlibrary.org/works/OL41777W
Every Day I Pray,Iyanla Vanzant,2001,https://openlibrary.org/works/OL42009W
The Queen of Everything,Deb Caletti,2002,https://openlibrary.org/works/OL5718825W
Charlie Brown Valentine,"Justine Fontes, Ron Fontes",2002,https://openlibrary.org/works/OL15126196W
Splendor,Anna Godbersen,2009,https://openlibrary.org/works/OL18795236W
Leisure,Josef Pieper,1958,https://openlibrary.org/works/OL112221W
The complete dream book of love and relationships,Gillian Holloway,2010,https://openlibrary.org/works/OL18671116W
Getting over Garrett Delaney,Abby McDonald,2012,https://openlibrary.org/works/OL15991386W
Nancy & Nick,Caroline B. Cooney,1982,https://openlibrary.org/works/OL15955083W
Socrates on friendship and community,Mary P. Nichols,2008,https://openlibrary.org/works/OL1826723W
Evertrue,Brodi Ashton,2014,https://openlibrary.org/works/OL18165279W
Dangerous,Shannon Hale,2014,https://openlibrary.org/works/OL17349917W
"Faith, hope and charity",Henry Bars,1961,https://openlibrary.org/works/OL178595W
Mystic city,Theo Lawrence,2012,https://openlibrary.org/works/OL16607110W
"Dearly, beloved",Lia Habel,2012,https://openlibrary.org/works/OL16726406W
The lines we cross,Randa Abdel-Fattah,2017,https://openlibrary.org/works/OL20059078W
The Fury and Dark Reunion,Lisa Jane Smith,2007,https://openlibrary.org/works/OL4444212W
Love and Electronic Affection,Lindsay D. Grace,2020,https://openlibrary.org/works/OL20752026W
Finding God Through Sex,David Deida,2002,https://openlibrary.org/works/OL2680141W
The threshold of the visible world,Kaja Silverman,1996,https://openlibrary.org/works/OL1852036W
In Search of the Good Society,Malcolm McIntosh,2017,https://openlibrary.org/works/OL21310536W
Bones & All,Camille DeAngelis,2015,https://openlibrary.org/works/OL20000760W
Pulp,Robin Talley,2018,https://openlibrary.org/works/OL19763291W
Juliet immortal,Stacey Jay,2011,https://openlibrary.org/works/OL16132581W
"Broken Promises, Mended Hearts",Joel D. Block,2000,https://openlibrary.org/works/OL1972338W
Das Liebesleben in der Natur,Wilhelm Bölsche,1904,https://openlibrary.org/works/OL1464686W
Ṭawq al-ḥamāmah fī al-ulfah wa-al-ullāf,"ʻAlī ibn Aḥmad Ibn Ḥazm, Muḥammad Amīn Farshūkh",1950,https://openlibrary.org/works/OL43543957W
Grandma's Bill,Martin Waddell,1990,https://openlibrary.org/works/OL114200W
The Girl Who Invented Romance,Caroline B. Cooney,1988,https://openlibrary.org/works/OL12412W
Love signals,"David B. Givens, David Givens",1983,https://openlibrary.org/works/OL5595206W
The clown's grail,Wallace Fowlie,1948,https://openlibrary.org/works/OL1332956W
Love and Memory,Jamal Gabobe,1996,https://openlibrary.org/works/OL8903775W
"The seduction narrative in Britain, 1747-1800","Katherine Binhammer, Katherine Binhammer",2009,https://openlibrary.org/works/OL13062604W
A mother for Choco,Keiko Kasza,1992,https://openlibrary.org/works/OL1876525W
Ratirahasya,Alex Comfort,1964,https://openlibrary.org/works/OL343664W
The Lily and the Leopard,Susan Childress,1991,https://openlibrary.org/works/OL4778045W
Sexuality and the psychology of love,Sigmund Freud,1966,https://openlibrary.org/works/OL1069645W
The sexual relations of mankind,Paul Mantegazza,1935,https://openlibrary.org/works/OL4026102W
Transforming philosophy and religion,"Kim Akass, Bruce Ellis Benson, Norman Wirzba",2008,https://openlibrary.org/works/OL16940185W
Deep secrets,Carolyn Keene,1990,https://openlibrary.org/works/OL39111W
What Zoey saw,Katherine Applegate,1994,https://openlibrary.org/works/OL27829W
The Simple Gift,Steven Herrick,2000,https://openlibrary.org/works/OL788012W
Portrait in crime,Carolyn Keene,1990,https://openlibrary.org/works/OL39362W
When love dies,Kate William,1984,https://openlibrary.org/works/OL3551964W
Through time into healing,Brian L. Weiss,1992,https://openlibrary.org/works/OL70778W
Princess in Love,Meg Cabot,2002,https://openlibrary.org/works/OL492860W
Post Romantic Stress Disorder,"Bradshaw, John",2004,https://openlibrary.org/works/OL1645390W
Ehe,Dietrich Von Hildebrand,1942,https://openlibrary.org/works/OL1449452W
Love and Awakening,John Welwood,1996,https://openlibrary.org/works/OL2976887W
Betsy and Joe (Betsy-Tacy #8),"Maud Hart Lovelace, Vera Neville",1948,https://openlibrary.org/works/OL3469942W
Foul Play,Janet Evanovich,1989,https://openlibrary.org/works/OL8108755W
Man and woman,Dietrich Von Hildebrand,1965,https://openlibrary.org/works/OL1449453W
Odyssey of the Heart,John H. Harvey,1994,https://openlibrary.org/works/OL2003481W
Spellbinder,Lisa Jane Smith,1996,https://openlibrary.org/works/OL15553502W
The psychology of romantic love,Nathaniel Branden,1980,https://openlibrary.org/works/OL1835075W
Deliciae sapientiae de amore conjugiali,Emanuel Swedenborg,1794,https://openlibrary.org/works/OL33542W
Baby Booky,Mary Engelbreit,2002,https://openlibrary.org/works/OL526043W
Bion and Meltzer's Expeditions into Unmapped Mental Life,Avner Bergstein,2018,https://openlibrary.org/works/OL21341223W
Cowboy Dave,Frank V. Webster,1915,https://openlibrary.org/works/OL4924710W
Rosalie und Trüffel,Katja Reider,2004,https://openlibrary.org/works/OL14850553W
Neuroloveology,Ava Cadell,2014,https://openlibrary.org/works/OL19982324W
Dawn,Molly Bang,1983,https://openlibrary.org/works/OL2732659W
Born for love,"Leo F. Buscaglia, Marcia Epler, Susan Wainright, Susan Wainwright",1992,https://openlibrary.org/works/OL3487848W
Visions of agapé,Craig A. Boyd,2008,https://openlibrary.org/works/OL18756079W
The love revolution,Joyce Meyer,2009,https://openlibrary.org/works/OL803512W
Reduce Me to Love,Joyce Meyer,2000,https://openlibrary.org/works/OL803593W
Tres ejemplos de amor y una teoría,Ramón J. Sender,1969,https://openlibrary.org/works/OL913785W
About Love,Robert C. Solomon,1988,https://openlibrary.org/works/OL1851059W
"Love, hate and reparation",Melanie Klein,1937,https://openlibrary.org/works/OL7516519W
The metaphysics of love,Frederick D. Wilhelmsen,1962,https://openlibrary.org/works/OL18520997W
True Love,Robert Fulghum,1997,https://openlibrary.org/works/OL2672373W
"The reformed monastery, or, The love of Jesus",Luke Beaulieu,1649,https://openlibrary.org/works/OL10316013W
Feminism and the Power of Love,"Lena Gunnarsson, Anna G. Jónasdóttir",2018,https://openlibrary.org/works/OL20593865W
Hoffnung und Geschichte,Josef Pieper,1967,https://openlibrary.org/works/OL112224W
A great love,Alexandra Kollontai,1929,https://openlibrary.org/works/OL4005510W
Love,Running Press,1987,https://openlibrary.org/works/OL8502083W
If You Listen,Charlotte Zolotow,1980,https://openlibrary.org/works/OL22273W
Expect a Miracle,Kathy Freston,1957,https://openlibrary.org/works/OL8699687W
The Bastard on the Couch,Daniel Jones,2004,https://openlibrary.org/works/OL6725479W
Sexual Love and Western Morality,Donald Phillip Verene,1972,https://openlibrary.org/works/OL2640664W
Living a life you love,Joyce Meyer,2018,https://openlibrary.org/works/OL19736243W
Histoires d'amour,Julia Kristeva em português,1983,https://openlibrary.org/works/OL71372W
A propos de Sartre et de l'amour,Suzanne Lilar,1967,https://openlibrary.org/works/OL1297659W
Vida en el amor,Ernesto Cardenal,1970,https://openlibrary.org/works/OL957324W
Moments of Love,Barbara Cartland,1982,https://openlibrary.org/works/OL137098W
"Beautiful Creatures (Beautiful Creatures Series, Book 1)","Kami Garcia, Margaret Stohl",2009,https://openlibrary.org/works/OL13691568W
Nina Shapes Up,Katherine Applegate,1996,https://openlibrary.org/works/OL15068629W
The idea of Coventry Patmore,Osbert Burdett,1921,https://openlibrary.org/works/OL1171367W
Social life in ancient India,Haran Chandra Chakladar,1929,https://openlibrary.org/works/OL1630805W
Philosophies of love,David L. Norton,1971,https://openlibrary.org/works/OL2959449W
Glare ice,Mary Logue,2001,https://openlibrary.org/works/OL17742W
Young Guinevere,Robert D. San Souci,1993,https://openlibrary.org/works/OL116631W
Saint Bernard on the love of God,Saint Bernard of Clairvaux,1881,https://openlibrary.org/works/OL1087501W
"Love, Reason and Morality","Katrien Schaubroeck, Esther Kroeker",2016,https://openlibrary.org/works/OL21294551W
Love undetectable,Andrew Sullivan,1998,https://openlibrary.org/works/OL20098007W
Words on Fire,Vanessa L. Ochs,1990,https://openlibrary.org/works/OL3524379W
Don't sweat the small stuff in love,"Richard Carlson, Kristine Carlson",1999,https://openlibrary.org/works/OL15825987W
What men live by,Richard C. Cabot,1914,https://openlibrary.org/works/OL1793292W
How to mend a broken heart,Dick Innes,1991,https://openlibrary.org/works/OL3455109W
O senhor do paco de Ninães,Camilo Castelo Branco,1919,https://openlibrary.org/works/OL1246572W
Kids still having kids,"Janet Bode, Stan Mack",1992,https://openlibrary.org/works/OL67040W
Endless Love,Scott Spencer,1979,https://openlibrary.org/works/OL1812810W
The asylum,"Lisa Jane Smith, Kevin Williamson, Julie Plec",2012,https://openlibrary.org/works/OL16451103W
I Love you. Now What?,Mabel Iam,2008,https://openlibrary.org/works/OL5736516W
If He Had Been With Me,Laura Nowlin,2013,https://openlibrary.org/works/OL19667762W
Love & Respect,Emerson Eggerichs,2004,https://openlibrary.org/works/OL8966593W
The Feel the Fear Guide to ... Lasting Love,Susan J. Jeffers,2005,https://openlibrary.org/works/OL4626722W
Bone Black,Bell Hooks,1996,https://openlibrary.org/works/OL31113W
Rock my soul,Bell Hooks,2002,https://openlibrary.org/works/OL31117W
Practical Intuition for Success,"Laura Day, Martin Edelston",1997,https://openlibrary.org/works/OL78685W
West Side Story,Irving Shulman,1961,https://openlibrary.org/works/OL4795439W
Loving bravely,"Alexandra H. Solomon, Vanessa Daniels",2017,https://openlibrary.org/works/OL20050357W
Rudolf Steiner's vision of love,Bernard Nesfield-Cookson,1983,https://openlibrary.org/works/OL5038318W
"Amoris effigies, sive, Quid sit amor?",Robert Waring,1650,https://openlibrary.org/works/OL7600911W
Side effects may vary,Julie Murphy,2014,https://openlibrary.org/works/OL19707748W
Judas,"עמוס עוז, Nicholas de Lange",2014,https://openlibrary.org/works/OL20210849W
Love Stories in China,"Wanning Sun, Yang Ling",2019,https://openlibrary.org/works/OL25754131W
"Wild, Wild Hair",Nikki Grimes,1996,https://openlibrary.org/works/OL103717W
Kanga Creek,Havelock Ellis,1922,https://openlibrary.org/works/OL1153007W
Crier's War,Nina Varela,2019,https://openlibrary.org/works/OL20919204W
Visser,Katherine Applegate,1999,https://openlibrary.org/works/OL27826W
God Works the Night Shift,Ron Mehl,1994,https://openlibrary.org/works/OL465254W
The Unexpected,Katherine Applegate,2000,https://openlibrary.org/works/OL27825W
Lion's Lady,Suzanne Barclay,1998,https://openlibrary.org/works/OL15410841W
"Breathe, Annie, breathe",Miranda Kenneally,2014,https://openlibrary.org/works/OL19982123W
Evernight,Claudia Gray,2008,https://openlibrary.org/works/OL9302612W
A Song for Ella Grey,David Almond,2014,https://openlibrary.org/works/OL19626251W
Twelve Across,Barbara Delinsky,1987,https://openlibrary.org/works/OL166387W
Love Is a Many Trousered Thing (Confessions of Georgia Nicolson),Louise Rennison,2007,https://openlibrary.org/works/OL92960W
Three rotten eggs,Gregory Maguire,2002,https://openlibrary.org/works/OL66215W
Love is a special way of feeling,Joan Walsh Anglund,1960,https://openlibrary.org/works/OL458627W
When it happens,Susane Colasanti,2006,https://openlibrary.org/works/OL5833951W
Commotion in the ocean,Giles Andreae,1998,https://openlibrary.org/works/OL73214W
Love is a handful of honey,Giles Andreae,1999,https://openlibrary.org/works/OL73215W
The good liar,Gregory Maguire,1995,https://openlibrary.org/works/OL66228W
I Love You More,Laura Duksta,2001,https://openlibrary.org/works/OL8828002W
Tenzin's Deer,Barbara Soros,2003,https://openlibrary.org/works/OL8932760W
I Love You Always And Forever,Jonathan Emmett,2007,https://openlibrary.org/works/OL85981W
Levinas and the Wisdom of Love,Corey Beals,2007,https://openlibrary.org/works/OL9895163W
The lesson,Carol Lynn Pearson,1998,https://openlibrary.org/works/OL72879W
Amelia Bedelia Ties The Knot,"Herman Parish, Lynne Avril",2016,https://openlibrary.org/works/OL24550139W
Olivia Twisted,Vivi Barnes,2013,https://openlibrary.org/works/OL21055484W
Dark Side of Love,Jane Goldberg,2017,https://openlibrary.org/works/OL25242068W
Revival : the Evolution of Modern Marriage,Franz Carl Muller-Lyer,2018,https://openlibrary.org/works/OL25232332W
Love,Anne Marie Pahuus,2018,https://openlibrary.org/works/OL25428557W
The incredible adventures of cinnamon girl,Melissa Keil,2014,https://openlibrary.org/works/OL22319873W
"Philosophy of Love in the Past, Present, and Future","André Grahle, Natasha McKeever, Joe Saunders",2021,https://openlibrary.org/works/OL25810457W
Love  with the Proper Stranger : Affective Honesty and Enactment,Estelle Shane,2017,https://openlibrary.org/works/OL25742423W
Shakespeare in Three Dimensions,Robert Blacker,2017,https://openlibrary.org/works/OL25767943W
Life in hell,Matt Groening,1994,https://openlibrary.org/works/OL135562W
How to Expand Love,His Holiness Tenzin Gyatso the XIV Dalai Lama,2005,https://openlibrary.org/works/OL10373793W
Formal country,Pat Ross,1989,https://openlibrary.org/works/OL114953W
Stories from the Bible,Martin Waddell,1993,https://openlibrary.org/works/OL114202W
Three to get married,Fulton J. Sheen,1951,https://openlibrary.org/works/OL111054W
Teach only love,Gerald G. Jampolsky,1983,https://openlibrary.org/works/OL11925051W
Fallen,Lauren Kate,2009,https://openlibrary.org/works/OL15299819W
Intimate partners,Maggie Scarf,1987,https://openlibrary.org/works/OL3739129W
Falling in Love,Ayala Malakh-Pines,1999,https://openlibrary.org/works/OL269904W
Love and Intimate Relationships,"Norman M. Brown, Ellen S. Amatea",2013,https://openlibrary.org/works/OL26742458W
Guardian Angel,Julie Garwood,1990,https://openlibrary.org/works/OL26943W
El amor y otras idioteces,José Pedro Manglano,2007,https://openlibrary.org/works/OL27958238W
100 Simple Secrets of Great Relationships,David Niven,2003,https://openlibrary.org/works/OL274374W
"Transference, Love, Being",Andrea Celenza,2022,https://openlibrary.org/works/OL27412838W
Social Love and the Critical Potential of People,"Silvia Cataldi, Gennaro Iorio",2022,https://openlibrary.org/works/OL27813002W
Now and Forever-Let's Make Love,"Joan E. Lloyd, Joan Elizabeth Lloyd",2001,https://openlibrary.org/works/OL29408410W
Love by the Numbers,Glynis McCants,2009,https://openlibrary.org/works/OL26303064W
Ethics of Love,Susi Ferrarello,2022,https://openlibrary.org/works/OL27408544W
Love the Way You Love,"Jamie S. Rich, Marc Ellerby",2006,https://openlibrary.org/works/OL28778117W
1001 Ways to Be Romantic,Gregory Godek,2007,https://openlibrary.org/works/OL26301460W
"The symposium ; and, The Phaedo",Πλάτων,1980,https://openlibrary.org/works/OL380303W
One day my soul just opened up,Iyanla Vanzant,1998,https://openlibrary.org/works/OL42004W
The Joys of Love,Madeleine L'Engle,2008,https://openlibrary.org/works/OL41455W
Under rose-tainted skies,Louise Gornall,2016,https://openlibrary.org/works/OL20045212W
"Plato's Exceptional City, Love, and Philosopher",Nickolas Pappas,2020,https://openlibrary.org/works/OL20754001W
Hermias,"Dirk Baltzly, Michael Share",2018,https://openlibrary.org/works/OL20595306W
Lovebirds,Trevor Silvester,2013,https://openlibrary.org/works/OL19356074W
Love (Emma Dodd's Love You Books),"Emma Dodd, Emma Dodd (author)",2016,https://openlibrary.org/works/OL19338759W
