Title,Author,First Publish Year,URL
Crossed,Ally Condie,2009,https://openlibrary.org/works/OL16307969W
"Definitely Dead (Southern Vampire Mysteries, Book 6)",Charlaine Harris,2006,https://openlibrary.org/works/OL82382W
Travesuras de la niña mala,Mario Vargas Llosa,2006,https://openlibrary.org/works/OL857660W
Rumble in the jungle,"Giles Andreae, A. Giles",1996,https://openlibrary.org/works/OL73216W
Treatise concerning the religious affections,Jonathan Edwards,1746,https://openlibrary.org/works/OL37935W
Angelic wisdom concerning the divine love and the divine wisdom,Emanuel Swedenborg,1843,https://openlibrary.org/works/OL15337798W
The Devil's Laughter,Frank Yerby,1953,https://openlibrary.org/works/OL4906746W
The Sun is Also a Star,"Nicola Yoon, KARINE SUHARD - GUIE",2016,https://openlibrary.org/works/OL18199565W
Heartless,Marissa Meyer,2000,https://openlibrary.org/works/OL17886378W
Eleven Minutes,Paulo Coelho,2003,https://openlibrary.org/works/OL796601W
Winter of Artifice,Anaïs Nin,1939,https://openlibrary.org/works/OL2742651W
The Changeover,Margaret Mahy,1974,https://openlibrary.org/works/OL86139W
A Dog's Purpose,W. Bruce Cameron,2010,https://openlibrary.org/works/OL15572356W
Linger,Maggie Stiefvater,2010,https://openlibrary.org/works/OL15070436W
The pursuit of love,Nancy Mitford,1945,https://openlibrary.org/works/OL2233736W
Holding Up the Universe,Jennifer Niven,2016,https://openlibrary.org/works/OL20037217W
Girl Online:  On Tour,Zoe Sugg,2014,https://openlibrary.org/works/OL17587864W
Amahl and the Night Visitors,"Menotti, Gian Carlo, Gian-Carlo Menotti, Gian Carlo Menotti, G. C. Menotti",1951,https://openlibrary.org/works/OL122048W
Kærlighedens gerninger,Søren Kierkegaard,1946,https://openlibrary.org/works/OL112733W
A Woman Called Fancy,"Frank Yerby, Hadasah Shapira",1951,https://openlibrary.org/works/OL4906751W
"Love, Stargirl",Jerry Spinelli,2007,https://openlibrary.org/works/OL77095W
The Confessions of Max Tivoli,Andrew Sean Greer,2003,https://openlibrary.org/works/OL507399W
Evolution of Love,Emil Lucka,2008,https://openlibrary.org/works/OL21631683W
The Private School Murders,"James Patterson, Maxine Paetro",2013,https://openlibrary.org/works/OL18821976W
"Lisa, Bright and Dark",John Neufeld,1968,https://openlibrary.org/works/OL20426W
The Giving Tree,Shel Silverstein,1964,https://openlibrary.org/works/OL3368288W
Call Me by Your Name,André Aciman,2007,https://openlibrary.org/works/OL8034526W
"Sex, Love, and Romance in the Mass Media",Mary-Lou Galician,1600,https://openlibrary.org/works/OL5801633W
The Heir (The Selection #4),Kiera Cass,2015,https://openlibrary.org/works/OL17104741W
Noughts & Crosses,Malorie Blackman,1998,https://openlibrary.org/works/OL4126109W
Shiosai,三島由紀夫,1954,https://openlibrary.org/works/OL1845332W
Letters to Karen  Abingdon Press (Abingdon Classics),"Charlie W. Shedd, Charlie W.Shedd, Shedd",1965,https://openlibrary.org/works/OL1907013W
Dialoghi d'amore,León Hebreo,1558,https://openlibrary.org/works/OL3649435W
The Message,Katherine Applegate,1996,https://openlibrary.org/works/OL27836W
An Acceptable Time (Time Quintet #5 / O'Keefe Family #4),Madeleine L'Engle,1989,https://openlibrary.org/works/OL41482W
3:16,Max Lucado,2007,https://openlibrary.org/works/OL57143W
"Confessions of An Ugly Stepsister (Maguire, Gregory)",Gregory Maguire,1999,https://openlibrary.org/works/OL66201W
Forever,Maggie Stiefvater,2011,https://openlibrary.org/works/OL15941697W
Works (Poems / Wuthering Heights),Emily Brontë,1907,https://openlibrary.org/works/OL21170W
Witchlight,Lisa Jane Smith,1998,https://openlibrary.org/works/OL4323629W
Solitaire,Alice Oseman,2014,https://openlibrary.org/works/OL20348172W
The origins of love and hate,Ian D. Suttie,1935,https://openlibrary.org/works/OL4839629W
The Mayflower Project,Katherine Applegate,2001,https://openlibrary.org/works/OL27802W
"Cuentos de amor, de locura y de muerte",Horacio Quiroga,1900,https://openlibrary.org/works/OL830718W
The Stranger,Katherine Applegate,1795,https://openlibrary.org/works/OL27819W
The Catalogue of the Universe,Margaret Mahy,1985,https://openlibrary.org/works/OL86138W
Love and marriage,"Ellen Key, Arthur G. Chater",1911,https://openlibrary.org/works/OL2859907W
Challenge,"Vita Sackville-West, Carol Ann Duffy, Stella Duffy",1920,https://openlibrary.org/works/OL1347384W
